,_id,config.overwrite,config.db_collection,config.cov_embed_dims,config.dataset_ground_truth1,config.dataset_ground_truth2,config.dataset_to_predict,config.dropout_rate,config.kl_weight,config.learning_rate,config.max_epochs,config.n_hidden,config.n_latent,config.n_layers,config.save_folder_name,config.save_models,config.seed,config.weight_decay,result.kl_weight,result.train_loss_step,result.elbo_validation,result.reconstruction_loss_validation,result.kl_local_validation,result.kl_global_validation,result.dbdb_r2_validation_eval,result.mSTZ_r2_validation_eval,result.mean_r2_validation_eval,result.train_loss_epoch,result.r2_dbdb_healthy,result.r2_dbdb_OOD,result.r2_mSTZ_healthy,result.r2_mSTZ_OOD,result.shared_top_genes_dbdb,result.scores_corr_dbdb,result.pvals_adj_corr_dbdb,result.scores_ranks_corr_dbdb,result.shared_top_genes_mSTZ,result.scores_corr_mSTZ,result.pvals_adj_corr_mSTZ,result.scores_ranks_corr_mSTZ,result.pancreatic_D_cell_r2_dbdb_healthy,result.pancreatic_D_cell_r2_dbdb_OOD,result.pancreatic_D_cell_r2_mSTZ_healthy,result.pancreatic_D_cell_r2_mSTZ_OOD,result.pancreatic_D_cell_shared_top_genes_dbdb,result.pancreatic_D_cell_scores_corr_dbdb,result.pancreatic_D_cell_pvals_adj_corr_dbdb,result.pancreatic_D_cell_scores_ranks_corr_dbdb,result.pancreatic_D_cell_shared_top_genes_mSTZ_,result.pancreatic_D_cell_scores_corr_mSTZ_,result.pancreatic_D_cell_pvals_adj_corr_mSTZ_,result.pancreatic_D_cell_scores_ranks_corr_mSTZ_,result.type_B_pancreatic_cell_r2_dbdb_healthy,result.type_B_pancreatic_cell_r2_dbdb_OOD,result.type_B_pancreatic_cell_r2_mSTZ_healthy,result.type_B_pancreatic_cell_r2_mSTZ_OOD,result.type_B_pancreatic_cell_shared_top_genes_dbdb,result.type_B_pancreatic_cell_scores_corr_dbdb,result.type_B_pancreatic_cell_pvals_adj_corr_dbdb,result.type_B_pancreatic_cell_scores_ranks_corr_dbdb,result.type_B_pancreatic_cell_shared_top_genes_mSTZ_,result.type_B_pancreatic_cell_scores_corr_mSTZ_,result.type_B_pancreatic_cell_pvals_adj_corr_mSTZ_,result.type_B_pancreatic_cell_scores_ranks_corr_mSTZ_,result.pancreatic_A_cell_r2_dbdb_healthy,result.pancreatic_A_cell_r2_dbdb_OOD,result.pancreatic_A_cell_r2_mSTZ_healthy,result.pancreatic_A_cell_r2_mSTZ_OOD,result.pancreatic_A_cell_shared_top_genes_dbdb,result.pancreatic_A_cell_scores_corr_dbdb,result.pancreatic_A_cell_pvals_adj_corr_dbdb,result.pancreatic_A_cell_scores_ranks_corr_dbdb,result.pancreatic_A_cell_shared_top_genes_mSTZ_,result.pancreatic_A_cell_scores_corr_mSTZ_,result.pancreatic_A_cell_pvals_adj_corr_mSTZ_,result.pancreatic_A_cell_scores_ranks_corr_mSTZ_
0,1,1,big_dataset_train_full_CT_10rep,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,True,42,0.3,"                   kl_weight
epoch                       
0                        0.0
1      0.0024999999441206455
2       0.004999999888241291
3       0.007499999832361937
4       0.009999999776482582
...                      ...
151       0.3774999976158142
152       0.3799999952316284
153       0.3824999928474426
154      0.38499999046325684
155      0.38749998807907104

[156 rows x 1 columns]","          train_loss_step
epoch                    
0            636.55859375
1       587.5579833984375
2       562.1123657226562
3       546.5198364257812
4       530.9915771484375
...                   ...
151     512.3208618164062
152    505.80242919921875
153    509.31866455078125
154     513.5671997070312
155      523.776123046875

[156 rows x 1 columns]","          elbo_validation
epoch                    
0      1549.8670654296875
1      1389.0369873046875
2       1360.863037109375
3       1341.414306640625
4      1324.5916748046875
...                   ...
151        1045.630859375
152      1045.31201171875
153    1044.9718017578125
154     1046.016357421875
155     1044.827392578125

[156 rows x 1 columns]","      reconstruction_loss_validation
epoch                               
0                  1512.910400390625
1                 1308.9166259765625
2                   1281.96142578125
3                  1274.106689453125
4                  1264.677490234375
...                              ...
151               1027.8453369140625
152               1027.4312744140625
153                 1027.16162109375
154                      1028.296875
155               1026.9344482421875

[156 rows x 1 columns]","      kl_local_validation
epoch                    
0      36.956626892089844
1       80.12034606933594
2       78.90158081054688
3       67.30764770507812
4       59.91420364379883
...                   ...
151     17.78554344177246
152    17.880735397338867
153    17.810144424438477
154     17.71946907043457
155     17.89291763305664

[156 rows x 1 columns]","      kl_global_validation
epoch                     
0                      0.0
1                      0.0
2                      0.0
3                      0.0
4                      0.0
...                    ...
151                    0.0
152                    0.0
153                    0.0
154                    0.0
155                    0.0

[156 rows x 1 columns]","      dbdb_r2_validation_eval
epoch                        
0          0.3041615495552033
1          0.3196444728361542
2         0.41381125895128507
3         0.46796768583845283
4           0.529198971887653
...                       ...
151        0.9085793966768788
152         0.908976208344252
153        0.9091833819898837
154        0.9062236178214911
155        0.9078483663031697

[156 rows x 1 columns]","      mSTZ_r2_validation_eval
epoch                        
0          0.2690190543804053
1         0.30508138458434775
2         0.39637630475107943
3         0.43353889197207407
4         0.46283519812233853
...                       ...
151        0.9295135320802937
152        0.9235986292719645
153        0.9290788001364958
154        0.9255598682593519
155        0.9254172259393149

[156 rows x 1 columns]","      mean_r2_validation_eval
epoch                        
0          0.2865903019678043
1           0.312362928710251
2          0.4050937818511822
3          0.4507532889052634
4         0.49601708500499575
...                       ...
151        0.9190464643785863
152        0.9162874188081082
153        0.9191310910631897
154        0.9158917430404214
155        0.9166327961212425

[156 rows x 1 columns]","        train_loss_epoch
epoch                   
0      1096.349365234375
1      603.8356323242188
2      571.2849731445312
3      550.8489379882812
4      537.1270141601562
...                  ...
151    514.1171264648438
152    514.1301879882812
153    514.1201782226562
154    514.1131591796875
155    514.1121826171875

[156 rows x 1 columns]",0.8957792636897003,0.9078483663031697,0.5225987626283088,0.9254172259393149,0.003,0.017378425153115728,-0.03303347805978023,0.1558160331213501,0.002,0.03638873420334804,-0.027689193542954824,0.1742497587050994,0.8122246248245132,0.45689457201496353,0.45689457201496353,0.45689457201496353,0.083,,,-0.01543075942671449,0.084,,,-0.05777466468243378,0.8060273652915209,0.5102963552329782,0.5102963552329782,0.5102963552329782,0.07,,,-0.016929920679689372,0.064,,,-0.060050604836162286,0.8027904536544783,0.4513893318615273,0.4513893318615273,0.4513893318615273,0.08,,,-0.02222122443982395,0.084,,,-0.0587213582048839
1,3,3,big_dataset_train_full_CT_10rep,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,True,44,0.3,"                   kl_weight
epoch                       
0                        0.0
1      0.0024999999441206455
2       0.004999999888241291
3       0.007499999832361937
4       0.009999999776482582
...                      ...
158      0.39500001072883606
159      0.39750000834465027
160       0.4000000059604645
161       0.4025000035762787
162       0.4050000011920929

[163 rows x 1 columns]","         train_loss_step
epoch                   
0      627.6660766601562
1        588.88720703125
2        570.33251953125
3      560.5023193359375
4      539.6381225585938
...                  ...
158    515.9788818359375
159    515.0221557617188
160    511.4849853515625
161    520.0106201171875
162    518.2271728515625

[163 rows x 1 columns]","          elbo_validation
epoch                    
0       1521.267822265625
1        1384.39404296875
2      1356.8629150390625
3      1328.2510986328125
4       1302.280517578125
...                   ...
158      1049.57666015625
159    1048.6368408203125
160    1048.8990478515625
161    1049.4510498046875
162     1048.870361328125

[163 rows x 1 columns]","      reconstruction_loss_validation
epoch                               
0                 1488.3482666015625
1                 1283.0704345703125
2                   1261.22900390625
3                   1243.54345703125
4                  1227.999267578125
...                              ...
158                1032.138427734375
159                1031.102294921875
160               1031.3038330078125
161               1031.9100341796875
162                  1031.3701171875

[163 rows x 1 columns]","      kl_local_validation
epoch                    
0       32.91956329345703
1      101.32365417480469
2       95.63390350341797
3        84.7076187133789
4       74.28124237060547
...                   ...
158     17.43819236755371
159      17.5345401763916
160    17.595251083374023
161    17.541004180908203
162     17.50029182434082

[163 rows x 1 columns]","      kl_global_validation
epoch                     
0                      0.0
1                      0.0
2                      0.0
3                      0.0
4                      0.0
...                    ...
158                    0.0
159                    0.0
160                    0.0
161                    0.0
162                    0.0

[163 rows x 1 columns]","      dbdb_r2_validation_eval
epoch                        
0         0.32810031832146647
1          0.2893530529621169
2         0.36113726789993833
3         0.39296124290173284
4          0.4367940567948034
...                       ...
158        0.9069129429619199
159          0.90450578143523
160        0.9036186560085203
161        0.9033562060115015
162        0.9073958275826994

[163 rows x 1 columns]","      mSTZ_r2_validation_eval
epoch                        
0          0.3187991520315999
1         0.19475421565838621
2          0.2907598749677839
3          0.3442407066054297
4          0.4053280563657479
...                       ...
158        0.9094272842875074
159        0.9120576391950609
160        0.9048392674829173
161        0.9066769753127722
162        0.9130033544648944

[163 rows x 1 columns]","      mean_r2_validation_eval
epoch                        
0          0.3234497351765332
1          0.2420536343102516
2         0.32594857143386113
3          0.3686009747535813
4          0.4210610565802757
...                       ...
158        0.9081701136247138
159        0.9082817103151455
160        0.9042289617457189
161        0.9050165906621369
162         0.910199591023797

[163 rows x 1 columns]","        train_loss_epoch
epoch                   
0      1101.853759765625
1      606.6917114257812
2      575.4310913085938
3      556.4105834960938
4      542.5133056640625
...                  ...
158    513.9276733398438
159       513.9208984375
160    513.9089965820312
161    513.9290161132812
162      513.90576171875

[163 rows x 1 columns]",0.8949233498415164,0.9073958275826994,0.525770956829914,0.9130033544648944,0.003,0.01491994192266906,-0.032431909584179026,0.1425797848780079,0.0,0.03511157741506011,-0.03154738432949864,0.16357825426020264,0.8595639626086775,0.5307751566581853,0.5307751566581853,0.5307751566581853,0.076,,,-0.010474104452851376,0.078,,,-0.05613333907326962,0.8490138718955624,0.4953382077963212,0.4953382077963212,0.4953382077963212,0.074,,,-0.021521510954225862,0.07,,,-0.058249387771621156,0.8686113538787952,0.4927715636649008,0.4927715636649008,0.4927715636649008,0.071,,,-0.017632600500581606,0.073,,,-0.05683558501639119
2,5,5,big_dataset_train_full_CT_10rep,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,True,46,0.3,"                   kl_weight
epoch                       
0                        0.0
1      0.0024999999441206455
2       0.004999999888241291
3       0.007499999832361937
4       0.009999999776482582
...                      ...
174       0.4350000023841858
175                   0.4375
176       0.4399999976158142
177       0.4424999952316284
178       0.4449999928474426

[179 rows x 1 columns]","         train_loss_step
epoch                   
0         635.9365234375
1      588.6001586914062
2      567.4554443359375
3        544.29833984375
4      533.8682861328125
...                  ...
174     522.127685546875
175    513.8646240234375
176           517.390625
177    515.2382202148438
178    517.6925048828125

[179 rows x 1 columns]","          elbo_validation
epoch                    
0      1612.9578857421875
1      1430.7982177734375
2       1419.563720703125
3      1406.3836669921875
4      1360.3514404296875
...                   ...
174      1044.44580078125
175     1045.260009765625
176    1044.2308349609375
177    1044.0872802734375
178    1044.0162353515625

[179 rows x 1 columns]","      reconstruction_loss_validation
epoch                               
0                 1579.4703369140625
1                 1353.7552490234375
2                  1346.612060546875
3                    1337.3720703125
4                   1302.40966796875
...                              ...
174               1026.7679443359375
175               1027.4976806640625
176                  1026.4833984375
177                   1026.341796875
178               1026.3052978515625

[179 rows x 1 columns]","      kl_local_validation
epoch                    
0      33.487510681152344
1       77.04297637939453
2       72.95164489746094
3       69.01155090332031
4       57.94182586669922
...                   ...
174    17.677900314331055
175    17.762304306030273
176    17.747392654418945
177    17.745481491088867
178     17.71099090576172

[179 rows x 1 columns]","      kl_global_validation
epoch                     
0                      0.0
1                      0.0
2                      0.0
3                      0.0
4                      0.0
...                    ...
174                    0.0
175                    0.0
176                    0.0
177                    0.0
178                    0.0

[179 rows x 1 columns]","      dbdb_r2_validation_eval
epoch                        
0          0.2604830354719301
1         0.22551780861801424
2          0.3071724884968767
3          0.3431892094700007
4         0.34221821423769966
...                       ...
174        0.9057983170049149
175         0.906730587087443
176        0.9074603351256906
177        0.9017089641850635
178        0.9021488731117614

[179 rows x 1 columns]","      mSTZ_r2_validation_eval
epoch                        
0         0.28673181936705433
1         0.20998347738212714
2          0.3190584721404941
3          0.3784436028658366
4          0.3860772435847608
...                       ...
174        0.9156074903496224
175        0.9104115958051205
176        0.9173226309863627
177         0.915529583819671
178        0.9143068451960596

[179 rows x 1 columns]","      mean_r2_validation_eval
epoch                        
0          0.2736074274194922
1          0.2177506430000707
2         0.31311548031868547
3          0.3608164061679187
4         0.36414772891123026
...                       ...
174        0.9107029036772687
175        0.9085710914462818
176        0.9123914830560266
177        0.9086192740023673
178        0.9082278591539106

[179 rows x 1 columns]","        train_loss_epoch
epoch                   
0       1093.02880859375
1      605.8663330078125
2      572.0890502929688
3        551.66357421875
4      537.7805786132812
...                  ...
174    514.0415649414062
175    514.0300903320312
176    513.9002685546875
177    513.8772583007812
178    513.8561401367188

[179 rows x 1 columns]",0.8835273574818724,0.9021488731117614,0.4318729095684182,0.9143068451960596,0.004,0.0134097365365547,-0.03221065770341482,0.1503562931317167,0.0,0.03359644377445831,-0.036661281861406644,0.17289024879406076,0.8294302554419369,0.39330061467731825,0.39330061467731825,0.39330061467731825,0.087,,,-0.011718582325923228,0.079,,,-0.05720945709298925,0.7855981589002212,0.4185043054736035,0.4185043054736035,0.4185043054736035,0.076,,,-0.019526955937280245,0.07,,,-0.06025336754917495,0.8707468310037156,0.41846176469693097,0.41846176469693097,0.41846176469693097,0.077,,,-0.02363991220552371,0.084,,,-0.05667258690615152
3,8,8,big_dataset_train_full_CT_10rep,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,True,49,0.3,"                   kl_weight
epoch                       
0                        0.0
1      0.0024999999441206455
2       0.004999999888241291
3       0.007499999832361937
4       0.009999999776482582
...                      ...
122       0.3050000071525574
123       0.3075000047683716
124       0.3100000023841858
125                   0.3125
126       0.3149999976158142

[127 rows x 1 columns]","         train_loss_step
epoch                   
0      634.6761474609375
1         585.4814453125
2      563.5510864257812
3      544.9031982421875
4       530.250732421875
...                  ...
122    523.8687133789062
123    515.2515869140625
124    522.8736572265625
125    515.3050537109375
126    514.5353393554688

[127 rows x 1 columns]","          elbo_validation
epoch                    
0      1543.0216064453125
1       1404.290771484375
2      1376.0631103515625
3      1352.6861572265625
4      1330.8936767578125
...                   ...
122    1039.8812255859375
123         1039.37890625
124       1038.4306640625
125      1038.97119140625
126    1038.8106689453125

[127 rows x 1 columns]","      reconstruction_loss_validation
epoch                               
0                        1512.953125
1                  1331.664306640625
2                  1310.413330078125
3                       1298.4140625
4                       1281.9140625
...                              ...
122               1023.8609008789062
123               1023.4549560546875
124               1022.4255981445312
125               1023.0532836914062
126                 1022.91943359375

[127 rows x 1 columns]","      kl_local_validation
epoch                    
0      30.068532943725586
1       72.62650299072266
2       65.64974975585938
3       54.27214431762695
4       48.97957229614258
...                   ...
122    16.020383834838867
123    15.923982620239258
124     16.00502586364746
125    15.917872428894043
126     15.89124870300293

[127 rows x 1 columns]","      kl_global_validation
epoch                     
0                      0.0
1                      0.0
2                      0.0
3                      0.0
4                      0.0
...                    ...
122                    0.0
123                    0.0
124                    0.0
125                    0.0
126                    0.0

[127 rows x 1 columns]","      dbdb_r2_validation_eval
epoch                        
0         0.41936969752533104
1          0.3754018824633157
2          0.4703563617985767
3          0.5062540996138217
4          0.5617344384599657
...                       ...
122        0.9007553863905531
123        0.9004266489353562
124        0.8970780625481446
125        0.8990364821109319
126        0.9025095262611027

[127 rows x 1 columns]","      mSTZ_r2_validation_eval
epoch                        
0         0.40883564600419037
1         0.33739059963750617
2         0.43063952414665724
3         0.48230993096760755
4          0.5404621023504532
...                       ...
122        0.8956620538599672
123        0.8981333518406315
124        0.9050208708678654
125        0.8958364151009139
126        0.9058832886387639

[127 rows x 1 columns]","      mean_r2_validation_eval
epoch                        
0          0.4141026717647607
1          0.3563962410504109
2          0.4504979429726169
3         0.49428201529071464
4          0.5510982704052094
...                       ...
122        0.8982087201252602
123        0.8992800003879938
124         0.901049466708005
125        0.8974364486059229
126        0.9041964074499333

[127 rows x 1 columns]","         train_loss_epoch
epoch                    
0      1085.1109619140625
1        609.275634765625
2       573.8528442382812
3       554.1146850585938
4       540.8060913085938
...                   ...
122       515.05419921875
123          515.02734375
124     515.0692749023438
125     515.0377807617188
126       514.81689453125

[127 rows x 1 columns]",0.9020517692497387,0.9025095262611027,0.6731398269567939,0.9058832886387639,0.003,0.014272110138166113,-0.03671082256746625,0.15026614854204595,0.001,0.03308841720785307,-0.04111215112334999,0.16846721017209942,0.8378079368657398,0.5725487901395686,0.5725487901395686,0.5725487901395686,0.074,,,-0.02063749956601112,0.094,,,-0.05146789057639449,0.9054758013475341,0.6898575798099963,0.6898575798099963,0.6898575798099963,0.074,,,-0.022395199631792297,0.064,,,-0.058247713591174,0.9009704766056013,0.5971460410572005,0.5971460410572005,0.5971460410572005,0.075,,,-0.024229416903561053,0.095,,,-0.053063362838302396
4,9,9,big_dataset_train_full_CT_10rep,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,True,50,0.3,"                   kl_weight
epoch                       
0                        0.0
1      0.0024999999441206455
2       0.004999999888241291
3       0.007499999832361937
4       0.009999999776482582
...                      ...
138       0.3449999988079071
139       0.3474999964237213
140       0.3499999940395355
141      0.35249999165534973
142      0.35499998927116394

[143 rows x 1 columns]","         train_loss_step
epoch                   
0      637.2054443359375
1      584.7166748046875
2      562.1734619140625
3         546.7333984375
4          542.353515625
...                  ...
138     516.187744140625
139    513.0236206054688
140    511.3375244140625
141    509.8343505859375
142    515.0360107421875

[143 rows x 1 columns]","          elbo_validation
epoch                    
0      1498.9464111328125
1       1411.715576171875
2      1381.0289306640625
3       1361.428955078125
4        1331.63818359375
...                   ...
138      1036.97216796875
139    1036.9866943359375
140    1037.4163818359375
141    1036.8829345703125
142     1036.634521484375

[143 rows x 1 columns]","      reconstruction_loss_validation
epoch                               
0                 1467.5787353515625
1                 1344.7923583984375
2                  1317.563232421875
3                 1310.6932373046875
4                  1285.287353515625
...                              ...
138               1021.2030029296875
139                 1021.16552734375
140               1021.5975341796875
141                1021.035400390625
142               1020.7850341796875

[143 rows x 1 columns]","      kl_local_validation
epoch                    
0      31.367618560791016
1        66.9232177734375
2       63.46575164794922
3        50.7357063293457
4         46.350830078125
...                   ...
138    15.769165992736816
139    15.821166038513184
140    15.818882942199707
141    15.847593307495117
142     15.84948444366455

[143 rows x 1 columns]","      kl_global_validation
epoch                     
0                      0.0
1                      0.0
2                      0.0
3                      0.0
4                      0.0
...                    ...
138                    0.0
139                    0.0
140                    0.0
141                    0.0
142                    0.0

[143 rows x 1 columns]","      dbdb_r2_validation_eval
epoch                        
0          0.3172176406363327
1           0.342707633919453
2         0.40893665838684207
3          0.4548820641463442
4          0.4907905470116141
...                       ...
138         0.902246610719772
139        0.9041476143591847
140        0.9053030004118119
141        0.9023609391409275
142        0.8984309763673558

[143 rows x 1 columns]","      mSTZ_r2_validation_eval
epoch                        
0           0.322387886934844
1          0.4286817984538503
2          0.4644828648981641
3          0.4950765052038449
4          0.5143436518527918
...                       ...
138        0.9176291860469722
139        0.9168107833830824
140        0.9168256100440619
141        0.9169021260195537
142        0.9137846869516774

[143 rows x 1 columns]","      mean_r2_validation_eval
epoch                        
0         0.31980276378558825
1          0.3856947161866517
2          0.4367097616425031
3          0.4749792846750946
4           0.502567099432203
...                       ...
138         0.909937898383372
139        0.9104791988711336
140        0.9110643052279369
141        0.9096315325802407
142        0.9061078316595166

[143 rows x 1 columns]","         train_loss_epoch
epoch                    
0      1089.6424560546875
1       610.2012939453125
2        574.097412109375
3        553.171630859375
4       538.1549682617188
...                   ...
138     514.7076416015625
139      514.700927734375
140     514.7196044921875
141       514.71630859375
142     514.6851196289062

[143 rows x 1 columns]",0.9075275459251636,0.8984309763673558,0.5577320650908477,0.9137846869516774,0.003,0.01713035390875867,-0.03425753530195669,0.14467177781162982,0.003,0.03626065872628509,-0.03631007097297821,0.1707761159614927,0.8311023565318878,0.516652863705709,0.516652863705709,0.516652863705709,0.085,,,-0.011906335149731901,0.09,,,-0.05493301240243077,0.8380751683586254,0.5464467352782851,0.5464467352782851,0.5464467352782851,0.075,,,-0.024529506068157122,0.071,,,-0.06146628867865943,0.8371242376038714,0.4977966184044602,0.4977966184044602,0.4977966184044602,0.079,,,-0.023360335386024174,0.09,,,-0.056635004037001224
